歌曲名,歌手,榜单,总播放量,平均热度,上榜次数,最佳排名,榜单排名
Espresso Girl,Jinx周君怡,['巅峰榜·内地'],0,,1,0,218
Freeze!,沈佳润 (NINA),['巅峰榜·新歌'],0,,1,0,219
Free Loop,鞠文娴/章智捷/蒋嘉阳/七元,['巅峰榜·流行指数'],0,,1,0,220
Free Loop,七元,['巅峰榜·流行指数'],0,,1,0,221
Free Loop,Daniel Powter,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,3,0,222
For You (Feat. Crush),李遐怡 (LeeHi)/Crush (크러쉬),['巅峰榜·新歌'],0,,1,0,223
Fool For You (降调版),Don7,['巅峰榜·新歌'],0,,1,0,224
Follow You,Imagine Dragons,['巅峰榜·新歌'],0,,1,0,225
FlexXX 炫,刘耀文,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,226
Fix Me (纯享版),陆定昊/付思超/李洛尔Zok/荣耀,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,227
Fix Me (Live),陆定昊/付思超/李洛尔Zok/荣耀,['巅峰榜·流行指数'],0,,1,0,228
Fire!,Alan Walker/宋雨琦 (YUQI) (우기)/i-dle (아이들)/JVKE,['巅峰榜·新歌'],0,,1,0,229
Fire,Gavin DeGraw,['巅峰榜·流行指数'],0,,1,0,230
Find my world,小高同学,['巅峰榜·内地'],0,,1,0,231
Finally,壞特？te,['巅峰榜·内地'],0,,1,0,232
Fight for you,冬天吃了秋天/CK梨,['巅峰榜·内地'],0,,1,0,233
Fiesta,CxM (SEVENTEEN),['巅峰榜·新歌'],0,,1,0,234
Gone (Deep Phonk),Tamboss,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,235
Gone,ROSÉ (로제),['巅峰榜·新歌'],0,,1,0,236
Going Dumb (with Stray Kids),Alesso/Stray Kids (스트레이 키즈)/CORSAK胡梦周,['巅峰榜·新歌'],0,,1,0,237
Glimpse of Us,Joji,['巅峰榜·内地'],0,,1,0,238
Girls‘Talk,两条腿Leggy/Hailie黑梨,['巅峰榜·内地'],0,,1,0,239
Gimme (Reset),人面兽心/花凯,['巅峰榜·新歌'],0,,1,0,240
Get A Guitar,RIIZE (라이즈),['巅峰榜·新歌'],0,,1,0,241
GRL GVNG,XG,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,242
GO!,CORTIS,['巅峰榜·新歌'],0,,1,0,243
GGUM,YEONJUN,['巅峰榜·新歌'],0,,1,0,244
GANADARA (Feat. 아이유),朴宰范 (Jay Park)/IU (아이유),['巅峰榜·新歌'],0,,1,0,245
GAME,那吾克热-NW,['巅峰榜·内地'],0,,1,0,246
GALA,XG,['巅峰榜·新歌'],0,,1,0,247
G324,陈冯/Muyoi,['巅峰榜·内地'],0,,1,0,248
G Love (Mashup),Tamboss,['巅峰榜·流行指数'],0,,1,0,249
Friendships (Lost My Love),Pascal Letoublon/Leony,['巅峰榜·流行指数'],0,,1,0,250
Head On,林俊杰,['巅峰榜·新歌'],0,,1,0,251
Hate Rodrigo (Feat.YUQI ((G)I-DLE)),YENA (崔叡娜)/宋雨琦 (YUQI) (우기),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,252
Hard to Love (Explicit ver.),BLACKPINK (블랙핑크),['巅峰榜·新歌'],0,,1,0,253
HUSH,金圣圭 (김성규),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,254
HOAPROX (Remix),Subai/JVLA/7evens/Max,['巅峰榜·流行指数'],0,,1,0,255
HER&HER,幸儿ECHASL,['巅峰榜·内地'],0,,1,0,256
HEAVEN,Ailee (에일리),"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,2,0,257
HAPPY GIRL (快乐女孩),与非门,['巅峰榜·内地'],0,,1,0,258
H.Y.,李昊一,['巅峰榜·内地'],0,,1,0,259
Gwalla,虞书欣,['巅峰榜·新歌'],0,,1,0,260
Gut Feeling,PANTHEPACK,['巅峰榜·新歌'],0,,1,0,261
Groovy,DAGE&DAYE,['巅峰榜·内地'],0,,1,0,262
Gotta Let Go,FLXQ,['巅峰榜·内地'],0,,1,0,263
Got You,刘耀文,['巅峰榜·新歌'],0,,1,0,264
Goodbye My Old Friend,R1SE,['巅峰榜·新歌'],0,,1,0,265
GoneBad,Gumperti,['巅峰榜·新歌'],0,,1,0,266
Hot & Cold (温差),KAI (金钟仁)/SEULGI (슬기)/JENO (제노)/KARINA (카리나),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,267
Hope(feat. Ghosthack),STonE,['巅峰榜·内地'],0,,1,0,268
Holiday Cheer,Lucid Keys,['巅峰榜·新歌'],0,,1,0,269
Hold On Tight,aespa (에스파),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,270
